threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.5,25,ISF,0.86,0.0882187137448963,,0.07681818181818181
0.5,26,DBL,0.88,0.01090732577067202,,0.05212765957446809
0.5,26,DMM,0.86,0.009793324399521403,,0.05
0.5,26,ISF,0.88,0.07338129055312158,,0.06521739130434782
0.5,27,DBL,0.96,0.004698898303080217,,0.049655172413793115
0.5,27,DMM,0.92,0.003502918130791967,,0.05522935779816514
0.5,27,ISF,0.92,0.08270935145052379,,0.08106382978723405
0.5,28,DBL,0.84,0.005849330327904197,,0.05288888888888889
0.5,28,DMM,0.82,0.008621741695809192,,0.04714285714285713
0.5,28,ISF,0.94,0.07210323501165015,,0.07644859813084111
0.5,29,DBL,0.96,0.011292719965815207,,0.05480769230769231
0.5,29,DMM,0.94,0.009309745245147476,,0.0492
0.5,29,ISF,0.92,0.10581984440746657,,0.09908045977011494
0.6,0,DBL,0.7,0.044938335101407906,,0.0575
0.6,0,DMM,0.68,0.023846740687688644,,0.050555555555555555
0.6,0,ISF,0.6,0.13906580046093284,,0.08703703703703704
0.6,1,DBL,0.62,0.05870771723907624,,0.05310344827586207
